------------------------------------------------------ 
:: Shear Love Number Partial Derivatives 
:: Computed at 11:33PM on March 14, 2024
------------------------------------------------------ 
n = 1 | STRESS SOLUTION | Normalization: mu,kappa = (R_sc*(L_sc**2)*(T_sc**(-2))); rho = R_sc 
    L_sc = 6371000.0 | R_sc = 5500.0 | T_sc = 934.5127555294843 | pi*G = 1.0
 Radius(km)  Mu[non-dim]  Kappa[non-dim]  Rho[non-dim]  dhs_dmu  dhs_dK  dhs_drho  dls_dmu  dls_dK  dls_drho  dks_dmu  dks_dK  dks_drho 
5012.230470 0.818048 1.607000 0.869661 -0.092308 0.640595 -2.037351 -1.214368 -0.719827 3.753888 -0.001793 -0.000903 -0.001793
5041.140460 0.811351 1.588748 0.866771 -0.093550 0.660023 -2.072436 -1.246431 -0.738573 3.788860 -0.001808 -0.000917 -0.001808
5070.050450 0.804625 1.570438 0.863863 -0.094891 0.680069 -2.108412 -1.279439 -0.757789 3.824284 -0.001823 -0.000931 -0.001823
5098.960440 0.797879 1.552089 0.860944 -0.096333 0.700748 -2.144524 -1.313402 -0.777483 3.859049 -0.001839 -0.000945 -0.001839
5127.870430 0.791112 1.533696 0.858011 -0.097883 0.722087 -2.181548 -1.348346 -0.797672 3.894255 -0.001855 -0.000959 -0.001855
5156.780420 0.784315 1.515242 0.855060 -0.099549 0.744120 -2.218717 -1.384308 -0.818374 3.928776 -0.001872 -0.000974 -0.001872
5185.690410 0.777506 1.496766 0.852103 -0.101330 0.766854 -2.256820 -1.421292 -0.839592 3.963726 -0.001890 -0.000989 -0.001890
5214.600400 0.770655 1.478201 0.849120 -0.103243 0.790354 -2.295077 -1.459357 -0.861365 3.997963 -0.001907 -0.001004 -0.001907
5243.510390 0.763792 1.459612 0.846131 -0.105285 0.814615 -2.334292 -1.498503 -0.883688 4.032622 -0.001925 -0.001020 -0.001925
5272.420380 0.756894 1.440959 0.843121 -0.107470 0.839691 -2.373667 -1.538789 -0.906589 4.066531 -0.001944 -0.001035 -0.001944
