------------------------------------------------------ 
:: Shear Love Number Partial Derivatives 
:: Computed at 11:33PM on March 14, 2024
------------------------------------------------------ 
n = 0 | Normalization: mu,kappa = (R_sc*(L_sc**2)*(T_sc**(-2))); rho = R_sc 
    L_sc = 6371000.0 | R_sc = 5500.0 | T_sc = 934.5127555294843 | pi*G = 1.0
 Radius(km)  Mu[non-dim]  Kappa[non-dim]  Rho[non-dim]  dhs_dmu  dhs_dK  dhs_drho  dls_dmu  dls_dK  dls_drho  dks_dmu  dks_dK  dks_drho 
5561.520280 0.686455 1.251431 0.812111 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5590.430270 0.679268 1.232200 0.808918 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5619.340260 0.662991 1.215747 0.805695 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5648.250250 0.642425 1.200737 0.802455 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5677.160240 0.622177 1.185705 0.799197 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5706.070230 0.483726 0.997969 0.725625 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5734.980220 0.479035 0.987167 0.724402 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5763.890210 0.474371 0.976437 0.723178 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5792.800200 0.459173 0.946661 0.717880 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5821.710190 0.440968 0.911369 0.711255 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5850.620180 0.423241 0.876949 0.704631 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5879.530170 0.405987 0.843396 0.698006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5908.440160 0.389195 0.810692 0.691381 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5937.350150 0.372861 0.778825 0.684756 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5966.260140 0.356978 0.747787 0.678131 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5995.170130 0.311858 0.667541 0.641606 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
