------------------------------------------------------ 
:: Potential Love Number Partial Derivatives 
:: Computed at 11:33PM on March 14, 2024
------------------------------------------------------ 
n = 4 | Normalization: mu,kappa = (R_sc*(L_sc**2)*(T_sc**(-2))); rho = R_sc 
    L_sc = 6371000.0 | R_sc = 5500.0 | T_sc = 934.5127555294843 | pi*G = 1.0
 Radius(km)  Mu[non-dim]  Kappa[non-dim]  Rho[non-dim]  dhp_dmu  dhp_dK  dhp_drho  dlp_dmu  dlp_dK  dlp_drho  dkp_dmu  dkp_dK  dkp_drho 
5098.960440 0.797879 1.552089 0.860944 -0.501127 -0.019406 0.718022 -0.041337 0.005133 -0.015013 -0.126773 -0.000811 0.190823
5127.870430 0.791112 1.533696 0.858011 -0.497294 -0.021012 0.736227 -0.046344 0.005541 -0.014415 -0.126362 -0.000886 0.197595
5156.780420 0.784315 1.515242 0.855060 -0.492808 -0.022695 0.754746 -0.051502 0.005968 -0.013653 -0.125802 -0.000964 0.204531
5185.690410 0.777506 1.496766 0.852103 -0.487633 -0.024457 0.773708 -0.056802 0.006413 -0.012797 -0.125083 -0.001045 0.211631
5214.600400 0.770655 1.478201 0.849120 -0.481787 -0.026303 0.792982 -0.062239 0.006879 -0.011755 -0.124209 -0.001129 0.218894
5243.510390 0.763792 1.459612 0.846131 -0.475226 -0.028232 0.812699 -0.067801 0.007364 -0.010598 -0.123168 -0.001216 0.226318
5272.420380 0.756894 1.440959 0.843121 -0.467962 -0.030249 0.832723 -0.073479 0.007870 -0.009230 -0.121961 -0.001306 0.233902
5301.330370 0.749972 1.422253 0.840096 -0.459973 -0.032356 0.853186 -0.079257 0.008397 -0.007722 -0.120581 -0.001398 0.241643
5330.240360 0.743030 1.403503 0.837059 -0.451248 -0.034554 0.873948 -0.085122 0.008946 -0.005973 -0.119025 -0.001493 0.249538
5359.150350 0.736049 1.384676 0.833998 -0.441799 -0.036848 0.895142 -0.091058 0.009517 -0.004058 -0.117293 -0.001591 0.257585
5388.060340 0.729055 1.365824 0.830929 -0.431594 -0.039238 0.916621 -0.097043 0.010111 -0.001870 -0.115376 -0.001690 0.265778
5416.970330 0.722018 1.346884 0.827834 -0.420663 -0.041729 0.938520 -0.103060 0.010727 0.000517 -0.113280 -0.001793 0.274114
5445.880320 0.714964 1.327909 0.824728 -0.408981 -0.044321 0.960687 -0.109081 0.011367 0.003211 -0.110996 -0.001897 0.282586
5474.790310 0.707880 1.308871 0.821602 -0.396564 -0.047017 0.983257 -0.115083 0.012032 0.006141 -0.108528 -0.002003 0.291190
5503.700300 0.700765 1.289774 0.818456 -0.383419 -0.049820 1.006073 -0.121034 0.012720 0.009419 -0.105873 -0.002111 0.299916
5532.610290 0.693632 1.270642 0.815298 -0.369545 -0.052730 1.029269 -0.126901 0.013432 0.012972 -0.103031 -0.002221 0.308759
5561.520280 0.686455 1.251431 0.812111 -0.354979 -0.055751 1.052682 -0.132651 0.014169 0.016918 -0.100009 -0.002332 0.317708
5590.430270 0.679268 1.232200 0.808918 -0.339710 -0.058881 1.076447 -0.138237 0.014931 0.021185 -0.096802 -0.002444 0.326756
5619.340260 0.662991 1.215747 0.805695 -0.330424 -0.062540 1.100411 -0.146085 0.015723 0.025910 -0.095127 -0.002588 0.335905
5648.250250 0.642425 1.200737 0.802455 -0.323462 -0.066413 1.124770 -0.155322 0.016503 0.031079 -0.094069 -0.002740 0.345199
5677.160240 0.622177 1.185705 0.799197 -0.315361 -0.070255 1.149358 -0.164744 0.017257 0.036834 -0.092741 -0.002883 0.354631
5706.070230 0.483726 0.997969 0.725625 -0.457565 -0.101778 1.174753 -0.234876 0.022265 0.043244 -0.126598 -0.004421 0.364375
5734.980220 0.479035 0.987167 0.724402 -0.429553 -0.103911 1.202365 -0.240713 0.022807 0.050900 -0.120452 -0.004398 0.375055
5763.890210 0.474371 0.976437 0.723178 -0.400854 -0.106013 1.230244 -0.245934 0.023338 0.059167 -0.114132 -0.004370 0.385786
5792.800200 0.459173 0.946661 0.717880 -0.388432 -0.112039 1.258382 -0.258640 0.024457 0.068172 -0.111506 -0.004519 0.396586
5821.710190 0.440968 0.911369 0.711255 -0.380103 -0.119554 1.287157 -0.274132 0.025777 0.078003 -0.109746 -0.004716 0.407552
